CEMT0097_H3K36me3,CEMT,EGAD00001003963,https://www.ebi.ac.uk/ega/datasets/EGAD00001003963,H3K36me3,Histone Modifications,B cells,Other
ERS227607_H3K4me3,Blueprint,EGAD00001002283,https://www.ebi.ac.uk/ega/datasets/EGAD00001002283,H3K4me3,Histone Modifications,"effector memory CD8-positive, alpha-beta T cell",Blood
MPP_PB_I33_RNA-Seq,Progenitor,,,RNA-Seq,Transcriptome,Multipotent progenitor from peripheral blood,Other
ERS433774_WGB-Seq,Blueprint,EGAD00001002423,https://www.ebi.ac.uk/ega/datasets/EGAD00001002423,WGB-Seq,Methylome,erythroblast,Blood
CD4_PB_I53_WGB-Seq,Progenitor,EGAD00001002732,https://www.ebi.ac.uk/ega/datasets/EGAD00001002732,WGB-Seq,Methylome,CD4+ T cell from peripheral blood,Other
CEMT0005_Input,CEMT,EGAD00001003963,https://www.ebi.ac.uk/ega/datasets/EGAD00001003963,Input,Histone Modifications,B cells,Other
ERS663693_Input,Blueprint,EGAD00001002494,https://www.ebi.ac.uk/ega/datasets/EGAD00001002494,Input,Histone Modifications,"CD8-positive, alpha-beta thymocyte",Thymus
ERS534012_H3K4me1,Blueprint,EGAD00001002314,https://www.ebi.ac.uk/ega/datasets/EGAD00001002314,H3K4me1,Histone Modifications,macrophage,Blood
CEMT0150_H3K36me3,CEMT,EGAD00001003963,https://www.ebi.ac.uk/ega/datasets/EGAD00001003963,H3K36me3,Histone Modifications,CD4 Naive,Other
ERS1044652_H3K27ac,Blueprint,EGAD00001002391,https://www.ebi.ac.uk/ega/datasets/EGAD00001002391,H3K27ac,Histone Modifications,osteoclast,Other
ERS655112_H3K36me3,Blueprint,EGAD00001002280,https://www.ebi.ac.uk/ega/datasets/EGAD00001002280,H3K36me3,Histone Modifications,lymphocyte of B lineage,Blood
ERS150388_H3K9me3,Blueprint,EGAD00001002484,https://www.ebi.ac.uk/ega/datasets/EGAD00001002484,H3K9me3,Histone Modifications,"CD14-positive, CD16-negative classical monocyte",Blood
CEMT0005_H3K4me1,CEMT,EGAD00001003963,https://www.ebi.ac.uk/ega/datasets/EGAD00001003963,H3K4me1,Histone Modifications,B cells,Other
MS000801_H3K36me3,McGill,EGAD00001001279,https://www.ebi.ac.uk/ega/datasets/EGAD00001001279,H3K36me3,Histone Modifications,CD4-positive helper T cell,Blood
ERS150384_RNA-Seq,Blueprint,,,RNA-Seq,Transcriptome,mature neutrophil,Blood
CEMT0186_H3K27me3,CEMT,EGAD00001005335,https://www.ebi.ac.uk/ega/datasets/EGAD00001005335,H3K27me3,Histone Modifications,Luminal progenitor cell,Other
ERS150364_RNA-Seq,Blueprint,,,RNA-Seq,Transcriptome,mature neutrophil,Blood
ERS699840_H3K27ac,Blueprint,EGAD00001002418,https://www.ebi.ac.uk/ega/datasets/EGAD00001002418,H3K27ac,Histone Modifications,peripheral blood mononuclear cell,Blood
CEMT0188_H3K27ac,CEMT,EGAD00001005335,https://www.ebi.ac.uk/ega/datasets/EGAD00001005335,H3K27ac,Histone Modifications,Stromal cell,Other
CEMT0147_WGB-Seq,CEMT,EGAD00001003963,https://www.ebi.ac.uk/ega/datasets/EGAD00001003963,WGB-Seq,Methylome,CD4 Naive,Other
ERS534016_H3K4me1,Blueprint,EGAD00001002314,https://www.ebi.ac.uk/ega/datasets/EGAD00001002314,H3K4me1,Histone Modifications,macrophage,Blood
ERS150406_RNA-Seq,Blueprint,,,RNA-Seq,Transcriptome,CD38-negative naive B cell,Blood
ERS902480_RNA-Seq,Blueprint,,,RNA-Seq,Transcriptome,adult endothelial progenitor cell,Blood
ERS337160_H3K27me3,Blueprint,EGAD00001002444,https://www.ebi.ac.uk/ega/datasets/EGAD00001002444,H3K27me3,Histone Modifications,"CD4-positive, alpha-beta T cell",Blood
ERS333901_H3K27ac,Blueprint,ERX297428,http://www.ebi.ac.uk/ena/data/view/ERX297428,H3K27ac,Histone Modifications,SU-DHL-5,Other
ERS852696_H3K27me3,Blueprint,EGAD00001002282,https://www.ebi.ac.uk/ega/datasets/EGAD00001002282,H3K27me3,Histone Modifications,unswitched memory B cell,Other
CEMT0061_mRNA-Seq,CEMT,EGAD00001003963,https://www.ebi.ac.uk/ega/datasets/EGAD00001003963,mRNA-Seq,Transcriptome,Large Intestine-Colon,Other
ERS753994_Input,Blueprint,EGAD00001002418,https://www.ebi.ac.uk/ega/datasets/EGAD00001002418,Input,Histone Modifications,Myeloid cell,Bone Marrow
CEMT0050_WGB-Seq,CEMT,EGAD00001003963,https://www.ebi.ac.uk/ega/datasets/EGAD00001003963,WGB-Seq,Methylome,Large Intestine-Colon-Rectosigmoid,Other
CEMT0133_H3K27me3,CEMT,EGAD00001003963,https://www.ebi.ac.uk/ega/datasets/EGAD00001003963,H3K27me3,Histone Modifications,Thyroid,Thyroid
